city_querry;;
АБАКАН;  true,;АБАКАН
Ливны;  true,;Ливны
Малоархангельск;  true,;Малоархангельск
Мценск;  true,;Мценск
Нарышкино;  true,;Нарышкино
Покровское;  true,;Покровское
Тросно;  true,;Тросно
ОРЕНБУРГ;  true,;ОРЕНБУРГ
Адамовка;  true,;Адамовка
Акбулак;  true,;Акбулак
Александровка;  true,;Александровка
Асекеево;  true,;Асекеево
Бугуруслан;  true,;Бугуруслан
Бузулук;  true,;Бузулук
Гай;  true,;Гай
Грачевка;  true,;Грачевка
Илек;  true,;Илек
Кувандык;  true,;Кувандык
Курманаевка;  true,;Курманаевка
Орск;  true,;Орск
Первомайский;  true,;Первомайский
Саракташ;  true,;Саракташ
Северное;  true,;Северное
Соль-Илецк;  true,;Соль-Илецк
Тоцкое;  true,;Тоцкое
Тюльган;  true,;Тюльган
Шарлык;  true,;Шарлык
Ясный;  true,;Ясный
ПАВЛОДАР;  true,;ПАВЛОДАР
ПЕНЗА;  true,;ПЕНЗА
Башмаково;  true,;Башмаково
Беднодемьяновск;  false,;
Белинский;  true,;Белинский
Бессоновка;  true,;Бессоновка
Городище;  true,;Городище
Исса;  true,;Исса
Земетчино;  true,;Земетчино
Каменка;  true,;Каменка
Колышлей;  true,;Колышлей
Кузнецк;  true,;Кузнецк
Лопатино;  true,;Лопатино
Лунино;  true,;Лунино
Малая Сердоба;  true,;Малая Сердоба
Мокшан;  true,;Мокшан
Наровчат;  true,;Наровчат
Никольск;  true,;Никольск
Пачелма;  true,;Пачелма
Русский Камешкир;  false,;
Сердобск;  true,;Сердобск
Сосновоборск;  true,;Сосновоборск
Тамала;  true,;Тамала
Шемышейка;  true,;Шемышейка
ПЕРМЬ;  true,;ПЕРМЬ
Александровск;  true,;Александровск
Барда;  true,;Барда
Березники;  true,;Березники
Березовка;  true,;Березовка
Большая Соснова;  true,;Большая Соснова
Верещагино;  true,;Верещагино
Горнозаводск;  true,;Горнозаводск
Гремячинск;  true,;Гремячинск
Губаха;  true,;Губаха
Добрянка;  true,;Добрянка
Елово;  true,;Елово
Звездный;  true,;Звездный
Ильинский;  true,;Ильинский
Карагай;  true,;Карагай
Кизел;  true,;Кизел
Краснокамск;  true,;Краснокамск
Кудымкар;  true,;Кудымкар
Куеда;  true,;Куеда
Кунгур;  true,;Кунгур
Лысьва;  true,;Лысьва
Нытва;  true,;Нытва
Октябрьский;  true,;Октябрьский
Орда;  true,;Орда
Оса;  true,;Оса
Оханск;  true,;Оханск
Очер;  true,;Очер
Сива;  true,;Сива
Соликамск;  true,;Соликамск
Суксун;  true,;Суксун
Уинское;  true,;Уинское
Усолье;  true,;Усолье
Чайковский;  true,;Чайковский
Частые;  true,;Частые
Чернушка;  true,;Чернушка
Чердынь;  true,;Чердынь
Чусовой;  true,;Чусовой
ПЕТРОЗАВОДСК;  true,;ПЕТРОЗАВОДСК
Беломорск;  true,;Беломорск
Калевала;  true,;Калевала
Кемь;  true,;Кемь
Кондопога;  true,;Кондопога
Костомукша;  true,;Костомукша
Лахденпохья;  true,;Лахденпохья
Лоухи;  true,;Лоухи
Медвежьегорск;  true,;Медвежьегорск
Муезерский;  true,;Муезерский
Олонец;  true,;Олонец
Питкяранта;  true,;Питкяранта
Пряжа;  true,;Пряжа
Пудож;  true,;Пудож
Сегежа;  true,;Сегежа
Сортавала;  true,;Сортавала
Суоярви;  true,;Суоярви
ПСКОВ;  true,;ПСКОВ
Бежаницы;  true,;Бежаницы
Великие Луки;  true,;Великие Луки
Гдов;  true,;Гдов
Дедовичи;  true,;Дедовичи
Дно;  true,;Дно
Красногородское;  false,;
Кунья;  true,;Кунья
Локня;  true,;Локня
Невель;  true,;Невель
Новоржев;  true,;Новоржев
Новосокольники;  true,;Новосокольники
Опочка;  true,;Опочка
Остров;  true,;Остров
Палкино;  true,;Палкино
Печоры;  true,;Печоры
Плюсса;  true,;Плюсса
Порхов;  true,;Порхов
Пустошка;  true,;Пустошка
Пушкинские Горы;  true,;Пушкинские Горы
Пыталово;  true,;Пыталово
Себеж;  true,;Себеж
Струги Красные;  true,;Струги Красные
Усвяты;  true,;Усвяты
РОСТОВ-НА-ДОНУ;  true,;РОСТОВ-НА-ДОНУ
Азов;  true,;Азов
Аксай;  true,;Аксай
Багаевский;  false,;
Батайск;  true,;Батайск
Белая Калитва;  true,;Белая Калитва
Боковская;  true,;Боковская
Большая Мартыновка;  false,;
Веселый;  true,;Веселый
Вешенская;  true,;Вешенская
Волгодонск;  true,;Волгодонск
Донецк;  true,;Донецк
Дубовское;  true,;Дубовское
Егорлыкская;  true,;Егорлыкская
Заветное;  true,;Заветное
Зерноград;  true,;Зерноград
Зимовники;  true,;Зимовники
Кагальницкая;  true,;Кагальницкая
Каменск-Шахтинский;  false,;
Константиновск;  true,;Константиновск
Куйбышево;  true,;Куйбышево
Матвеев Курган;  true,;Матвеев Курган
Миллерово;  true,;Миллерово
Милютинская;  true,;Милютинская
Морозовск;  true,;Морозовск
Новочеркасск;  true,;Новочеркасск
Новошахтинск;  true,;Новошахтинск
Орловский;  true,;Орловский
Обливская;  true,;Обливская
Покровское;  true,;Покровское
Ремонтное;  true,;Ремонтное
Родионово-Несветайская;  false,;
Романовская;  true,;Романовская
Сальск;  true,;Сальск
Семикаракорск;  true,;Семикаракорск
Таганрог;  true,;Таганрог
Тарасовский;  true,;Тарасовский
Усть-Донецкий;  true,;Усть-Донецкий
Цимлянск;  true,;Цимлянск
Чалтырь;  true,;Чалтырь
Чертково;  true,;Чертково
Шахты;  true,;Шахты
РЯЗАНЬ;  true,;РЯЗАНЬ
Ермишь;  true,;Ермишь
Кадом;  true,;Кадом
Касимов;  true,;Касимов
Кораблино;  true,;Кораблино
Милославское;  true,;Милославское
Михайлов;  true,;Михайлов
Новомичуринск;  true,;Новомичуринск
Пителино;  true,;Пителино
Путятино;  true,;Путятино
Рыбное;  true,;Рыбное
Ряжск;  true,;Ряжск
Сапожок;  true,;Сапожок
Сасово;  true,;Сасово
Скопин;  true,;Скопин
Солотча;  false,;
Спас-Клепики;  true,;Спас-Клепики
Спасск-Рязанский;  false,;
Старожилово;  true,;Старожилово
Ухолово;  true,;Ухолово
Чучково;  true,;Чучково
Шацк;  true,;Шацк
Шилово;  true,;Шилово
САМАРА;  true,;САМАРА
Алексеевка;  true,;Алексеевка
Безенчук;  true,;Безенчук
Большая Глушица;  true,;Большая Глушица
Большая Черниговка;  false,;
Жигулевск;  true,;Жигулевск
Кинель;  true,;Кинель
Клявлино;  true,;Клявлино
Кошки;  true,;Кошки
Красный Яр;  true,;Красный Яр
Нефтегорск;  true,;Нефтегорск
Новокуйбышевск;  true,;Новокуйбышевск
Отрадный;  true,;Отрадный
Похвистнево;  true,;Похвистнево
Сергиевск;  true,;Сергиевск
Тольятти;  true,;Тольятти
Чапаевск;  true,;Чапаевск
Челно-Вершины;  true,;Челно-Вершины
Шентала;  true,;Шентала
Шигоны;  true,;Шигоны
САНКТ-ПЕТЕРБУРГ;  true,;САНКТ-ПЕТЕРБУРГ
Выборг;  true,;Выборг
Гатчина;  true,;Гатчина
Кингисепп;  true,;Кингисепп
Кириши;  true,;Кириши
Луга;  true,;Луга
Пикалево;  true,;Пикалево
Приозерск;  true,;Приозерск
Сланцы;  true,;Сланцы
САРАНСК;  true,;САРАНСК
Ардатов;  true,;Ардатов
Атюрьево;  true,;Атюрьево
Атяшево;  true,;Атяшево
Большие Березники;  false,;
Большое Игнатово;  false,;
Дубенки;  true,;Дубенки
Ельники;  true,;Ельники
Зубова Поляна;  true,;Зубова Поляна
Инсар;  true,;Инсар
Кадошкино;  true,;Кадошкино
Кемля;  true,;Кемля
Ковылкино;  true,;Ковылкино
Кочкурово;  true,;Кочкурово
Краснослободск;  true,;Краснослободск
Лямбирь;  true,;Лямбирь
Ромоданово;  true,;Ромоданово
Рузаевка;  true,;Рузаевка
Старое Шайгово;  true,;Старое Шайгово
Теньгушево;  true,;Теньгушево
Темников;  true,;Темников
Торбеево;  true,;Торбеево
Чамзинка;  true,;Чамзинка
Явас;  true,;Явас
САРАТОВ;  true,;САРАТОВ
Аркадак;  true,;Аркадак
Аткарск;  true,;Аткарск
Балаково;  true,;Балаково
Балашов;  true,;Балашов
Балтай;  true,;Балтай
Вольск;  true,;Вольск
Горный;  true,;Горный
Дергачи;  true,;Дергачи
Духовницкое;  true,;Духовницкое
Ершов;  true,;Ершов
Ивантеевка;  true,;Ивантеевка
Калининск;  true,;Калининск
Красноармейск;  true,;Красноармейск
Красный Кут;  true,;Красный Кут
Лысые Горы;  true,;Лысые Горы
Маркс;  true,;Маркс
Мокроус;  true,;Мокроус
Новоузенск;  true,;Новоузенск
Новые Бурасы;  true,;Новые Бурасы
Озинки;  true,;Озинки
Перелюб;  true,;Перелюб
Петровск;  true,;Петровск
Пугачев;  true,;Пугачев
Романовка;  true,;Романовка
Ртищево;  true,;Ртищево
Самойловка;  true,;Самойловка
Степное;  true,;Степное
Татищево;  true,;Татищево
Хвалынск;  true,;Хвалынск
СМОЛЕНСК;  true,;СМОЛЕНСК
Велиж;  true,;Велиж
Вязьма;  true,;Вязьма
Гагарин;  true,;Гагарин
Глинка;  true,;Глинка
Демидов;  true,;Демидов
Десногорск;  true,;Десногорск
Дорогобуж;  true,;Дорогобуж
Духовщина;  true,;Духовщина
Ельня;  true,;Ельня
Ершичи;  true,;Ершичи
Кардымово;  true,;Кардымово
Красный;  true,;Красный
Монастырщина;  true,;Монастырщина
Новодугино;  true,;Новодугино
Починок;  true,;Починок
Рославль;  true,;Рославль
Рудня;  true,;Рудня
Сычевка;  true,;Сычевка
Темкино;  true,;Темкино
Угра;  true,;Угра
Хиславичи;  true,;Хиславичи
Холм-Жирковский;  true,;Холм-Жирковский
Шумячи;  true,;Шумячи
Ярцево;  true,;Ярцево
СОЧИ;  true,;СОЧИ
СТАВРОПОЛЬ;  true,;СТАВРОПОЛЬ
Александровское;  true,;Александровское
Благодарный;  true,;Благодарный
Ессентуки;  true,;Ессентуки
Изобильный;  true,;Изобильный
Ипатово;  true,;Ипатово
Кисловодск;  true,;Кисловодск
Кочубеевское;  true,;Кочубеевское
Красногвардейское;  true,;Красногвардейское
Курсавка;  true,;Курсавка
Минеральные Воды;  false,;
Невинномысск;  true,;Невинномысск
Новоалександровск;  true,;Новоалександровск
Новоселицкое;  true,;Новоселицкое
Пятигорск;  true,;Пятигорск
СУРГУТ;  true,;СУРГУТ
Березово;  true,;Березово
СЫКТЫВКАР;  true,;СЫКТЫВКАР
Айкино;  true,;Айкино
Визинга;  true,;Визинга
Воркута;  true,;Воркута
Вуктыл;  true,;Вуктыл
Емва;  true,;Емва
Ижма;  true,;Ижма
Инта;  true,;Инта
Койгородок;  true,;Койгородок
Корткерос;  true,;Корткерос
Объячево;  true,;Объячево
Печора;  true,;Печора
Сосногорск;  true,;Сосногорск
Троицко-Печорск;  true,;Троицко-Печорск
Усинск;  true,;Усинск
Усогорск;  true,;Усогорск
Усть-Кулом;  true,;Усть-Кулом
Усть-Цильма;  true,;Усть-Цильма
Ухта;  true,;Ухта
ТАМБОВ;  true,;ТАМБОВ
Бондари;  true,;Бондари
Гавриловка-2-я;  true,;Гавриловка-2-я
Дмитриевка;  true,;Дмитриевка
Жердевка;  true,;Жердевка
Знаменка;  true,;Знаменка
Инжавино;  true,;Инжавино
Кирсанов;  true,;Кирсанов
Котовск;  true,;Котовск
Мичуринск;  true,;Мичуринск
Мордово;  true,;Мордово
Моршанск;  true,;Моршанск
Мучкапский;  true,;Мучкапский
Первомайский;  true,;Первомайский
Петровское;  true,;Петровское
Пичаево;  true,;Пичаево
Рассказово;  true,;Рассказово
Ржакса;  true,;Ржакса
Сатинка;  true,;Сатинка
Сосновка;  true,;Сосновка
Староюрьево;  true,;Староюрьево
Токаревка;  true,;Токаревка
Уварово;  true,;Уварово
Умет;  true,;Умет
ТВЕРЬ;  true,;ТВЕРЬ
Андреаполь;  true,;Андреаполь
Бежецк;  true,;Бежецк
Белый;  true,;Белый
Бологое;  true,;Бологое
Вышний Волочек;  true,;Вышний Волочек
Западная Двина;  true,;Западная Двина
Зубцов;  true,;Зубцов
Калязин;  true,;Калязин
Кашин;  true,;Кашин
Кимры;  true,;Кимры
Конаково;  true,;Конаково
Кувшиново;  true,;Кувшиново
Лесное;  true,;Лесное
Лихославль;  true,;Лихославль
Максатиха;  true,;Максатиха
Нелидово;  true,;Нелидово
Оленино;  true,;Оленино
Осташков;  true,;Осташков
Старица;  true,;Старица
Ржев;  true,;Ржев
Торжок;  true,;Торжок
Торопец;  true,;Торопец
Удомля;  true,;Удомля
ТОМСК;  true,;ТОМСК
Александровское;  true,;Александровское
Асино;  true,;Асино
Каргасок;  true,;Каргасок
Кожевниково;  true,;Кожевниково
Колпашево;  true,;Колпашево
Мельниково;  true,;Мельниково
Парабель;  true,;Парабель
Первомайское;  true,;Первомайское
Стрежевой;  true,;Стрежевой
Тегульдет;  true,;Тегульдет
ТУЛА;  true,;ТУЛА
Алексин;  true,;Алексин
Арсеньево;  true,;Арсеньево
Архангельское;  true,;Архангельское
Белев;  true,;Белев
Богородицк;  true,;Богородицк
Венев;  true,;Венев
Волово;  true,;Волово
Донской;  true,;Донской
Дубна;  true,;Дубна
Ефремов;  true,;Ефремов
Заокский;  true,;Заокский
Кимовск;  true,;Кимовск
Киреевск;  true,;Киреевск
Куркино;  true,;Куркино
Ленинский;  true,;Ленинский
Новомосковск;  true,;Новомосковск
Одоев;  true,;Одоев
Плавск;  true,;Плавск
Суворов;  true,;Суворов
Теплое;  true,;Теплое
Узловая;  true,;Узловая
Чернь;  true,;Чернь
Щекино;  true,;Щекино
Ясногорск;  true,;Ясногорск
ТЮМЕНЬ;  true,;ТЮМЕНЬ
Абатский;  false,;
Армизонское;  true,;Армизонское
Аромашево;  true,;Аромашево
Бердюжье;  true,;Бердюжье
Большое Сорокино;  false,;
Викулово;  true,;Викулово
Голышманово;  true,;Голышманово
Губкинский;  true,;Губкинский
Заводоуковск;  true,;Заводоуковск
Исетское;  true,;Исетское
Ишим;  true,;Ишим
Казанское;  true,;Казанское
Мужи;  true,;Мужи
Муравленко;  true,;Муравленко
Надым;  true,;Надым
Нижняя Тавда;  true,;Нижняя Тавда
Ноябрьск;  true,;Ноябрьск
Новый Уренгой;  true,;Новый Уренгой
Омутинский;  false,;
Салехард;  true,;Салехард
Сладково;  true,;Сладково
Тазовский;  true,;Тазовский
Тарко-Сале;  true,;Тарко-Сале
Тобольск;  true,;Тобольск
Уват;  true,;Уват
Упорово;  true,;Упорово
Ялуторовск;  true,;Ялуторовск
Ярково;  true,;Ярково
УЛАН-УДЭ;  true,;УЛАН-УДЭ
Гусиноозерск;  true,;Гусиноозерск
Северобайкальск;  true,;Северобайкальск
Хоринск;  true,;Хоринск
УЛЬЯНОВСК;  true,;УЛЬЯНОВСК
Барыш;  true,;Барыш
Большое Нагаткино;  false,;
Вешкайма;  true,;Вешкайма
Димитровград;  true,;Димитровград
Инза;  true,;Инза
Ишеевка;  true,;Ишеевка
Карсун;  true,;Карсун
Кузоватово;  true,;Кузоватово
Майна;  true,;Майна
Николаевка;  true,;Николаевка
Новая Малыкла;  true,;Новая Малыкла
Новоспасское;  true,;Новоспасское
Новоульяновск;  true,;Новоульяновск
Радищево;  true,;Радищево
Старая Кулатка;  true,;Старая Кулатка
Старая Майна;  true,;Старая Майна
Сурское;  true,;Сурское
Тереньга;  true,;Тереньга
Чердаклы;  true,;Чердаклы
УФА;  true,;УФА
Архангельское;  true,;Архангельское
Аскарово;  true,;Аскарово
Аскино;  true,;Аскино
Баймак;  true,;Баймак
Бакалы;  true,;Бакалы
Белебей;  true,;Белебей
Белорецк;  true,;Белорецк
Бижбуляк;  true,;Бижбуляк
Бирск;  true,;Бирск
Благовещенск;  true,;Благовещенск
Большеустьикинское;  true,;Большеустьикинское
Буздяк;  true,;Буздяк
Бураево;  true,;Бураево
Верхнеяркеево;  true,;Верхнеяркеево
Верхние Киги;  true,;Верхние Киги
Давлеканово;  true,;Давлеканово
Дюртюли;  true,;Дюртюли
Ермекеево;  true,;Ермекеево
Ермолаево;  true,;Ермолаево
Зилаир;  true,;Зилаир
Иглино;  true,;Иглино
Исянгулово;  true,;Исянгулово
Ишимбай;  true,;Ишимбай
Калтасы;  true,;Калтасы
Караидель;  true,;Караидель
Кармаскалы;  true,;Кармаскалы
Киргиз-Мияки;  true,;Киргиз-Мияки
Красная Горка;  true,;Красная Горка
Красноусольский;  true,;Красноусольский
Кумертау;  true,;Кумертау
Кушнаренково;  true,;Кушнаренково
Малояз;  true,;Малояз
Мелеуз;  true,;Мелеуз
Месягутово;  true,;Месягутово
Мишкино;  true,;Мишкино
Мраково;  true,;Мраково
Нефтекамск;  true,;Нефтекамск
Николо-Березовка;  false,;
Новобелокатай;  true,;Новобелокатай
Октябрьский;  true,;Октябрьский
Раевский;  true,;Раевский
Салават;  true,;Салават
Сибай;  true,;Сибай
Стерлибашево;  true,;Стерлибашево
Стерлитамак;  true,;Стерлитамак
Толбазы;  true,;Толбазы
Туймазы;  true,;Туймазы
Учалы;  true,;Учалы
Федоровка;  true,;Федоровка
Чекмагуш;  true,;Чекмагуш
Чишмы;  true,;Чишмы
Шаран;  true,;Шаран
Языково;  true,;Языково
Янаул;  true,;Янаул
ХАБАРОВСК;  true,;ХАБАРОВСК
Вяземский;  true,;Вяземский
Советская Гавань;  false,;
Солнечный;  true,;Солнечный
Троицкое;  true,;Троицкое
ЧЕБОКСАРЫ;  true,;ЧЕБОКСАРЫ
Алатырь;  true,;Алатырь
Аликово;  true,;Аликово
Батырево;  true,;Батырево
Вурнары;  true,;Вурнары
Ибреси;  true,;Ибреси
Канаш;  true,;Канаш
Козловка;  true,;Козловка
Комсомольское;  true,;Комсомольское
Красноармейское;  true,;Красноармейское
Красные Четаи;  true,;Красные Четаи
Кугеси;  true,;Кугеси
Мариинский Посад;  false,;
Моргауши;  true,;Моргауши
Порецкое;  true,;Порецкое
Урмары;  true,;Урмары
Цивильск;  true,;Цивильск
Шемурша;  true,;Шемурша
Шумерля;  true,;Шумерля
Яльчики;  true,;Яльчики
Янтиково;  true,;Янтиково
ЧЕЛЯБИНСК;  true,;ЧЕЛЯБИНСК
Агаповка;  true,;Агаповка
Аргаяш;  true,;Аргаяш
Аша;  true,;Аша
Бреды;  true,;Бреды
Варна;  true,;Варна
Верхний Уфалей;  true,;Верхний Уфалей
Верхнеуральск;  true,;Верхнеуральск
Долгодеревенское;  true,;Долгодеревенское
Еманжелинск;  true,;Еманжелинск
Еткуль;  true,;Еткуль
Златоуст;  true,;Златоуст
Карталы;  true,;Карталы
Касли;  true,;Касли
Катав-Ивановск;  true,;Катав-Ивановск
Кизильское;  true,;Кизильское
Копейск;  true,;Копейск
Коркино;  true,;Коркино
Кунашак;  true,;Кунашак
Куса;  true,;Куса
Кыштым;  true,;Кыштым
Магнитогорск;  true,;Магнитогорск
Миасс;  true,;Миасс
Миасское;  true,;Миасское
Нязепетровск;  true,;Нязепетровск
Озерск;  true,;Озерск
Октябрьское;  true,;Октябрьское
Пласт;  true,;Пласт
Сатка;  true,;Сатка
Снежинск;  true,;Снежинск
Солнечная Долина;  false,;
Троицк;  true,;Троицк
Увельский;  true,;Увельский
Усть-Катав;  true,;Усть-Катав
Фершампенуаз;  true,;Фершампенуаз
Чебаркуль;  true,;Чебаркуль
Чесма;  true,;Чесма
Южноуральск;  true,;Южноуральск
ЧЕРЕПОВЕЦ;  true,;ЧЕРЕПОВЕЦ
ЧЕРКЕССК;  true,;ЧЕРКЕССК
ЧИТА;  true,;ЧИТА
Балей;  true,;Балей
Дульдурга;  true,;Дульдурга
Карымская;  true,;Карымская
Красный Чикой;  true,;Красный Чикой
Нерчинск;  true,;Нерчинск
Петровск-Забайкальск;  false,;
Улеты;  true,;Улеты
Шелопугино;  true,;Шелопугино
Шилка;  true,;Шилка
ЯКУТСК;  true,;ЯКУТСК
Алдан;  true,;Алдан
Амга;  true,;Амга
Бердигестях;  true,;Бердигестях
Верхневилюйск;  true,;Верхневилюйск
Вилюйск;  true,;Вилюйск
Ленск;  true,;Ленск
Майя;  true,;Майя
Мирный;  true,;Мирный
Нерюнгри;  true,;Нерюнгри
Нюрба;  true,;Нюрба
Олекминск;  true,;Олекминск
Покровск;  true,;Покровск
Сангар;  true,;Сангар
Сунтар;  true,;Сунтар
Тикси;  true,;Тикси
Усть-Мая;  true,;Усть-Мая
Хандыга;  true,;Хандыга
ЯРОСЛАВЛЬ;  true,;ЯРОСЛАВЛЬ
Большое Село;  true,;Большое Село
Борисоглебский;  true,;Борисоглебский
Брейтово;  true,;Брейтово
Гаврилов Ям;  true,;Гаврилов Ям
Данилов;  true,;Данилов
Любим;  true,;Любим
Мышкин;  true,;Мышкин
Некрасовское;  true,;Некрасовское
Новый Некоуз;  true,;Новый Некоуз
Переславль-Залесский;  false,;
Пречистое;  true,;Пречистое
Пошехонье;  true,;Пошехонье
Ростов;  true,;Ростов
Рыбинск;  true,;Рыбинск
Тутаев;  true,;Тутаев
Углич;  true,;Углич
Рубцовск;  true,;Рубцовск
Новокубанск;  true,;Новокубанск
БАРАНОВИЧИ;  true,;БАРАНОВИЧИ
Белыничи;  true,;Белыничи
Береза;  true,;Береза
Березино;  true,;Березино
Берестовица;  true,;Берестовица
Бешенковичи;  true,;Бешенковичи
БОБРУЙСК;  true,;БОБРУЙСК
БОРИСОВ;  true,;БОРИСОВ
Брагин;  true,;Брагин
Браслав;  true,;Браслав
БРЕСТ;  true,;БРЕСТ
Буда-Кошелево;  true,;Буда-Кошелево
Быхов;  true,;Быхов
Верхнедвинск;  true,;Верхнедвинск
Ветка;  true,;Ветка
Вилейка;  true,;Вилейка
ВИТЕБСК;  true,;ВИТЕБСК
Волковыск;  true,;Волковыск
Воложин;  true,;Воложин
Вороново;  true,;Вороново
Ганцевичи;  true,;Ганцевичи
Глубокое;  true,;Глубокое
Глуск;  true,;Глуск
ГОМЕЛЬ;  true,;ГОМЕЛЬ
Горки;  true,;Горки
Городок;  true,;Городок
ГРОДНО;  true,;ГРОДНО
Дзержинск;  true,;Дзержинск
Добруш;  true,;Добруш
Докшицы;  true,;Докшицы
Дрибин;  true,;Дрибин
Дрогичин;  true,;Дрогичин
Дубровно;  true,;Дубровно
Дятлово;  true,;Дятлово
Ельск;  true,;Ельск
Жабинка;  true,;Жабинка
Житковичи;  true,;Житковичи
ЖЛОБИН;  true,;ЖЛОБИН
Жодино;  true,;Жодино
Зельва;  true,;Зельва
Иваново;  true,;Иваново
Иванцевичи;  false,;
Ивье;  true,;Ивье
Калинковичи;  true,;Калинковичи
Каменец;  true,;Каменец
Кировск;  true,;Кировск
Клецк;  true,;Клецк
Климовичи;  true,;Климовичи
Кличев;  true,;Кличев
КОБРИН;  true,;КОБРИН
Копыль;  true,;Копыль
Кореличи;  true,;Кореличи
Корма;  true,;Корма
Костюковичи;  true,;Костюковичи
Краснополье;  true,;Краснополье
Кричев;  true,;Кричев
Круглое;  true,;Круглое
Крупки;  true,;Крупки
Лельчицы;  true,;Лельчицы
Лепель;  true,;Лепель
ЛИДА;  true,;ЛИДА
Лиозно;  true,;Лиозно
Логойск;  true,;Логойск
Лоев;  true,;Лоев
Лунинец;  true,;Лунинец
Любань;  true,;Любань
Ляховичи;  true,;Ляховичи
Малорита;  true,;Малорита
Марьина Горка;  true,;Марьина Горка
МИНСК;  true,;МИНСК
Миоры;  true,;Миоры
МОГИЛЁВ;  true,;МОГИЛЁВ
МОЗЫРЬ;  true,;МОЗЫРЬ
МОЛОДЕЧНО;  true,;МОЛОДЕЧНО
Мосты;  true,;Мосты
Мстиславль;  true,;Мстиславль
Мядель;  true,;Мядель
Наровля;  true,;Наровля
Нарочь;  true,;Нарочь
Несвиж;  true,;Несвиж
Новогрудок;  true,;Новогрудок
НОВОПОЛОЦК;  true,;НОВОПОЛОЦК
Октябрьский;  true,;Октябрьский
ОРША;  true,;ОРША
Осиповичи;  true,;Осиповичи
Островец;  true,;Островец
Ошмяны;  true,;Ошмяны
Петриков;  true,;Петриков
ПИНСК;  true,;ПИНСК
Плещеницы;  true,;Плещеницы
ПОЛОЦК;  true,;ПОЛОЦК
Поставы;  true,;Поставы
Пружаны;  true,;Пружаны
Речица;  true,;Речица
Рогачев;  true,;Рогачев
Россоны;  true,;Россоны
Светлогорск;  true,;Светлогорск
Свислоч;  true,;Свислоч
Сенно;  true,;Сенно
Славгород;  true,;Славгород
СЛОНИМ;  true,;СЛОНИМ
СЛУЦК;  true,;СЛУЦК
Смолевичи;  true,;Смолевичи
Сморгонь;  true,;Сморгонь
Солигорск;  true,;Солигорск
Старые Дороги;  true,;Старые Дороги
Столбцы;  true,;Столбцы
Столин;  true,;Столин
Толочин;  true,;Толочин
Узда;  true,;Узда
Ушачи;  true,;Ушачи
Хойники;  true,;Хойники
Хотимск;  true,;Хотимск
Чаусы;  true,;Чаусы
Чашники;  true,;Чашники
Червень;  true,;Червень
Чериков;  true,;Чериков
Чечерск;  true,;Чечерск
Шарковщина;  true,;Шарковщина
Шклов;  true,;Шклов
Шумилино;  true,;Шумилино
Щучин;  true,;Щучин
Азовское;  true,;Азовское
Акимовка;  true,;Акимовка
Александрия;  true,;Александрия
Александровка;  true,;Александровка
Александровка;  true,;Александровка
Алупка;  false,;
Алушта;  false,;
Алчевск;  true,;Алчевск
Амвросиевка;  true,;Амвросиевка
Ананьев;  true,;Ананьев
Андреевка;  true,;Андреевка
Андрушевка;  true,;Андрушевка
Антрацит;  true,;Антрацит
Апостолово;  true,;Апостолово
Арбузинка;  true,;Арбузинка
Армянск;  false,;
Артемовск;  true,;Артемовск
Арциз;  true,;Арциз
Аскания-Нова;  true,;Аскания-Нова
Ахтырка;  true,;Ахтырка
Аэрофлотский;  false,;
Бабай;  true,;Бабай
Балаклея;  true,;Балаклея
Балта;  true,;Балта
Бар;  true,;Бар
Барановка;  true,;Барановка
Барвенково;  true,;Барвенково
Барышевка;  true,;Барышевка
Батурин;  true,;Батурин
Бахмач;  true,;Бахмач
Бахчисарай;  false,;
Баштанка;  true,;Баштанка
Белая Церковь;  true,;Белая Церковь
Белгород-Днестровский;  false,;
Белгородск;  false,;
Беловодск;  true,;Беловодск
Белозерка;  true,;Белозерка
Белокукарино;  false,;
Белополье;  true,;Белополье
Беляевка;  true,;Беляевка
Бердичев;  true,;Бердичев
Бердянск;  true,;Бердянск
Берегово;  true,;Берегово
Бережаны;  true,;Бережаны
Березанка;  true,;Березанка
Березниговатое;  false,;
Березно;  true,;Березно
Березовка;  true,;Березовка
Березовка;  true,;Березовка
Берислав;  true,;Берислав
Бершадь;  true,;Бершадь
Близнюки;  true,;Близнюки
Бобринец;  true,;Бобринец
Бобрка;  true,;Бобрка
Бобровица;  true,;Бобровица
Богодухов;  true,;Богодухов
Богородчаны;  true,;Богородчаны
Богуслав;  true,;Богуслав
Болград;  true,;Болград
Болехов;  true,;Болехов
Борзна;  true,;Борзна
Борислав;  true,;Борислав
Борисполь;  true,;Борисполь
Боровая;  true,;Боровая
Бородянка;  true,;Бородянка
Борщов;  true,;Борщов
Боярка;  true,;Боярка
Братское;  true,;Братское
Бровары;  true,;Бровары
Броды;  true,;Броды
Брусилов;  true,;Брусилов
Брянка;  true,;Брянка
Бурштын;  true,;Бурштын
Бурынь;  true,;Бурынь
Буск;  true,;Буск
Буча;  true,;Буча
Бучач;  true,;Бучач
Быковка;  true,;Быковка
Валки;  true,;Валки
Вапнярка;  true,;Вапнярка
Варва;  true,;Варва
Васильевка;  true,;Васильевка
Васильков;  true,;Васильков
Васильковка;  true,;Васильковка
Введенка;  true,;Введенка
Великая Александровка;  false,;
Великая Белозерка;  false,;
Великая Богачка;  false,;
Великая Лепетиха;  false,;
